草<br>ソウ<br>くさ、 くさ-、 そ、 や<br>	grass, weeds, herbs, pasture, write, draft
足<br>ソク<br>あし、 た.りる、 た.る、 た.す、 あ、 あす、 おす、 たらし<br>	leg, foot, be sufficient, counter for pairs of footwear
村<br>ソン<br>むら、 え、 むた、 ら<br>	village, town
大<br>ダイ、 タイ<br>おお-、 おお.きい、 うふ、 お、 おう、 た、 たかし、 とも、 はじめ、 ひろ、 ひろし、 まさ、 まさる、 もと、 わ<br>	large, big
男<br>ダン、 ナン<br>おとこ、 お、 み<br>	male
竹<br>チク<br>たけ、 たか<br>	bamboo
中<br>チュウ<br>なか、 うち、 あた.る、 あたる、 かなえ<br>	in, inside, middle, mean, center
虫<br>チュウ、 キ<br>むし、 む<br>	insect, bug, temper
町<br>チョウ<br>まち<br>	town, village, block, street
天<br>テン<br>あまつ、 あめ、 あま-、 あき、 あも、 た、 たかし、 て、 なま<br>	heavens, sky, imperial
田<br>デン<br>た、 いなか、 おか、 たん、 で、 とう、 や<br>	rice field, rice paddy
土<br>ド、 ト<br>つち、 つ、 つく、 は、 ひじ<br>	soil, earth, ground, Turkey
二<br>ニ、 ジ<br>ふた、 ふた.つ、 ふたた.び、 おと、 つぐ、 にい、 は、 ふ、 ふたつ、 ふだ、 わ<br>	two
日<br>ニチ、 ジツ<br>ひ、 あ、 あき、 いる、 く、 くさ、 こう、 す、 たち、 に、 にっ、 につ、 へ<br>	day, sun, Japan, counter for days
入<br>ニュウ、 ジュ<br>い.る、 い.れる、 はい.る、 いり、 いる、 に、 の、 りり<br>	enter, insert
年<br>ネン<br>とし、 ね<br>	year, counter for years
白<br>ハク、 ビャク<br>しろ、 しら-、 しろ.い、 あき、 か、 はっ<br>	white
八<br>ハチ<br>や、 や.つ、 やっ.つ、 よう、 な、 は、 はっ、 はつ、 やち、 やつ、 はちがしら<br>	eight
百<br>ヒャク、 ビャク<br>もも、 お、 ど、 どう、 なり、 ひゃっ、 ひゅく、 も、 もんど、 ゆ<br>	hundred
文<br>ブン、 モン<br>ふみ、 あや、 かざり、 ふ、 も、 ぶんにょう<br>	sentence, literature, style, art, decoration, figures, plan
本<br>ホン<br>もと、 まと<br>	book, present, main, origin, true, real, counter for long cylindrical things
名<br>メイ、 ミョウ<br>な、 と<br>	name, noted, distinguished, reputation
木<br>ボク、 モク<br>き、 こ-、 ぐ、 も、 もと<br>	tree, wood
目<br>モク、 ボク<br>め、 ま-、 さかん、 さがん、 さっか、 さつか<br>	eye, class, look, insight, experience, care, favor
夕<br>セキ<br>ゆう、 ゆ<br>	evening
立<br>リツ、 リュウ、 リットル<br>た.つ、 た.ち-、 た.てる、 た.て-、 たて-、 たち、 たっ、 たつ、 だて、 つい<br>	stand up, rise, set up, erect
力<br>リョク、 リキ、 リイ<br>ちから、 じから、 つとむ<br>	power, strong, strain, bear up, exert
林<br>リン<br>はやし、 し<br>	grove, forest
六<br>ロク、 リク<br>む、 む.つ、 むっ.つ、 むい、 く、 むつ、 ろっ、 ろつ<br>	six
引<br>イン<br>ひ.く、 ひ.き、 ひ.き-、 ひ.ける、 いな、 ひき、 ひけ、 びき<br>	pull, tug, jerk, admit, install, quote, refer to
羽<br>ウ<br>は、 わ、 はね、 しゅう、 ば<br>	feathers, counter for birds, rabbits
雲<br>ウン<br>くも、 き、 ずも、 のめ<br>	cloud
園<br>エン<br>その、 おん、 ぞの<br>	park, garden, yard, farm
遠<br>エン、 オン<br>とお.い、 お、 おに、 ど、 どお<br>	distant, far
黄<br>コウ、 オウ<br>き、 こ-、 うい、 れい<br>	yellow
何<br>カ<br>なに、 なん、 なに-、 なん-、 あが<br>	what
夏<br>カ、 ガ、 ゲ<br>なつ<br>	summer
家<br>カ、 ケ<br>いえ、 や、 うち、 あり、 え、 く、 つか、 べ<br>	house, home, family, professional, expert, performer
科<br>カ<br>しな<br>	department, course, section
歌<br>カ<br>うた、 うた.う<br>	song, sing
画<br>ガ、 カク、 エ、 カイ<br>えが.く、 かく.する、 かぎ.る、 はかりごと、 はか.る<br>	brush-stroke, picture
会<br>カイ、 エ<br>あ.う、 あ.わせる、 あつ.まる、 あい、 い<br>	meeting, meet, party, association, interview, join
回<br>カイ、 エ<br>まわ.る、 まわ.す、 まわ.し-、 もとお.る、 か.える<br>	-times, round, game, revolve, counter for occurrences
海<br>カイ<br>うみ、 あ、 あま、 うな、 うん、 え、 か、 た、 ひろ、 ひろし、 ぶ、 まち、 まま、 み、 め、 わたる<br>	sea, ocean
絵<br>カイ、 エ<br><br>	picture, drawing, painting, sketch
外<br>ガイ、 ゲ<br>そと、 ほか、 はず.す、 はず.れる、 と-、 うい、 け、 ふか<br>	outside
角<br>カク<br>かど、 つの、 い、 す、 すみ、 ずみ、 ふさ<br>	angle, corner, square, horn, antlers
楽<br>ガク、 ラク、 ゴウ<br>たの.しい、 たの.しむ、 この.む、 さ、 た、 やす、 ら<br>	music, comfort, ease
活<br>カツ<br>い.きる、 い.かす、 い.ける<br>	lively, resuscitation, being helped, living
間<br>カン、 ケン<br>あいだ、 ま、 あい、 ちか、 は、 はざ、 はし<br>	interval, space
丸<br>ガン<br>まる、 まる.める、 まる.い、 ま、 わ、 わに<br>	round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away
岩<br>ガン<br>いわ<br>	boulder, rock, cliff
顔<br>ガン<br>かお<br>	face, expression
帰<br>キ<br>かえ.る、 かえ.す、 おく.る、 とつ.ぐ<br>	homecoming, arrive at, lead to, result in
汽<br>キ<br><br>	vapor, steam
記<br>キ<br>しる.す、 のり<br>	scribe, account, narrative
弓<br>キュウ<br>ゆみ、 こ、 ゆ<br>	bow, bow (archery, violin)
牛<br>ギュウ<br>うし、 うじ、 ご<br>	cow
魚<br>ギョ<br>うお、 さかな、 い<br>	fish
京<br>キョウ、 ケイ、 キン<br>みやこ、 たか<br>	capital, 10**16
強<br>キョウ、 ゴウ<br>つよ.い、 つよ.まる、 つよ.める、 し.いる、 こわ.い、 すね<br>	strong
教<br>キョウ<br>おし.える、 おそ.わる、 のり、 ひさ<br>	teach, faith, doctrine
近<br>キン、 コン<br>ちか.い、 おう、 おお、 この<br>	near, early, akin, tantamount
兄<br>ケイ、 キョウ<br>あに、 え、 せ、 よし<br>	elder brother, big brother
形<br>ケイ、 ギョウ<br>かた、 かたち、 なり、 ち<br>	shape, form, style
計<br>ケイ<br>はか.る、 はか.らう、 え、 かず、 け<br>	plot, plan, scheme, measure
元<br>ゲン、 ガン<br>もと、 ちか、 はじめ、 はる、 ゆき、 よし<br>	beginning, former time, origin
原<br>ゲン<br>はら、 た、 ばる、 ら、 わた、 わら<br>	meadow, original, primitive, field, plain, prairie, tundra, wilderness
言<br>ゲン、 ゴン<br>い.う、 こと、 とき<br>	say
古<br>コ<br>ふる.い、 ふる-、 ふゆ<br>	old
戸<br>コ<br>と、 え、 へ、 とびらのと<br>	door, counter for houses
午<br>ゴ<br>うま<br>	noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac
後<br>ゴ、 コウ<br>のち、 うし.ろ、 うしろ、 あと、 おく.れる、 こし、 し、 しい、 しり<br>	behind, back, later
語<br>ゴ<br>かた.る、 かた.らう<br>	word, speech, language
交<br>コウ<br>まじ.わる、 まじ.える、 ま.じる、 まじ.る、 ま.ざる、 ま.ぜる、 か.わす、 かわ.す、 こもごも、 かた<br>	mingle, mixing, association, coming &amp; going
光<br>コウ<br>ひか.る、 ひかり、 あき、 あきら、 こお、 てる、 ひこ、 み、 みつ<br>	ray, light
公<br>コウ、 ク<br>おおやけ、 あきら、 き、 きみ、 きん、 たか、 ただし、 とも、 ひろ、 まさ<br>	public, prince, official, governmental
工<br>コウ、 ク、 グ<br>もく、 たくみ<br>	craft, construction
広<br>コウ<br>ひろ.い、 ひろ.まる、 ひろ.める、 ひろ.がる、 ひろ.げる<br>	wide, broad, spacious
考<br>コウ<br>かんが.える、 かんが.え、 たか<br>	consider, think over
行<br>コウ、 ギョウ、 アン<br>い.く、 ゆ.く、 おこな.う、 おこ.なう、 いく、 なみ、 なめ、 みち、 ゆき、 ゆく<br>	going, journey
高<br>コウ<br>たか.い、 たか、 たか.まる、 たか.める、 か、 こ、 じょい、 た、 はか<br>	tall, high, expensive
合<br>ゴウ、 ガッ、 カッ<br>あ.う、 あ.い、 あい-、 あ.わす、 あ.わせる、 あう、 あん、 い、 か、 こう、 ごお、 に、 ね、 や、 り、 わい<br>	fit, suit, join, 0.1
国<br>コク<br>くに、 くな、 こ<br>	country
黒<br>コク<br>くろ、 くろ.ずむ、 くろ.い<br>	black
今<br>コン、 キン<br>いま、 な<br>	now
才<br>サイ<br><br>	genius, years old, cubic shaku
細<br>サイ<br>ほそ.い、 ほそ.る、 こま.か、 こま.かい<br>	dainty, get thin, taper, slender, narrow
作<br>サク、 サ<br>つく.る、 つく.り、 くり、 さか、 さっ、 づくり、 とも、 なお、 はぎ、 まさか<br>	make, production, prepare, build
算<br>サン<br>そろ<br>	calculate, divining, number, abacus, probability
姉<br>シ<br>あね、 はは<br>	elder sister
市<br>シ<br>いち、 い、 ち<br>	market, city, town
思<br>シ<br>おも.う、 おもえら.く、 おぼ.す<br>	think
止<br>シ<br>と.まる、 と.める、 とど.める、 とど.め、 とど.まる、 や.める、 や.む、 よ.す、 どめ<br>	stop, halt
紙<br>シ<br>かみ<br>	paper
寺<br>ジ<br>てら<br>	Buddhist temple
時<br>ジ<br>とき、 と、 とぎ<br>	time, hour
自<br>ジ、 シ<br>みずか.ら、 おの.ずから、 おの.ずと、 より<br>	oneself
室<br>シツ<br>むろ<br>	room, apartment, chamber, greenhouse, cellar
社<br>シャ<br>やしろ、 こそ<br>	company, firm, office, association, shrine
弱<br>ジャク<br>よわ.い、 よわ.る、 よわ.まる、 よわ.める<br>	weak, frail
首<br>シュ<br>くび、 おびと、 こべ、 す<br>	neck, counter for songs and poems
秋<br>シュウ<br>あき、 とき、 あい<br>	autumn
週<br>シュウ<br><br>	week
春<br>シュン<br>はる、 あずま、 かす、 すの、 ひ、 わら<br>	springtime, spring (season)
書<br>ショ<br>か.く、 かき<br>	write
少<br>ショウ<br>すく.ない、 すこ.し<br>	few, little
場<br>ジョウ、 チョウ<br>ば<br>	location, place
色<br>ショク、 シキ<br>いろ、 しか、 しこ<br>	color
食<br>ショク、 ジキ<br>く.う、 く.らう、 た.べる、 は.む、 ぐい<br>	eat, food
心<br>シン<br>こころ、 りっしんべん<br>	heart, mind, spirit
新<br>シン<br>あたら.しい、 あら.た、 あら-、 にい-、 あせ、 あたらし、 し、 に、 にっ、 につ、 よし<br>	new
親<br>シン<br>おや、 おや-、 した.しい、 した.しむ、 ぎ、 ちか、 のり<br>	parent, intimacy, relative, familiarity, dealer (cards)
図<br>ズ、 ト<br>え、 はか.る、 づ<br>	map, drawing, plan, unexpected, accidentally
数<br>スウ、 ス、 サク、 ソク、 シュ<br>かず、 かぞ.える、 しばしば、 せ.める、 わずらわ.しい、 じゅ<br>	number, strength, fate, law, figures
星<br>セイ、 ショウ<br>ほし<br>	star, spot, dot, mark
晴<br>セイ<br>は.れる、 は.れ、 は.れ-、 は.らす、 はる、 はれ<br>	clear up
声<br>セイ、 ショウ<br>こえ、 こわ-<br>	voice
西<br>セイ、 サイ、 ス<br>にし、 いり、 ひし、 むら<br>	west, Spain
切<br>セツ、 サイ<br>き.る、 き.り、 き.れる、 き.れ、 きつ、 きり、 ぎり<br>	cut, cutoff, be sharp
雪<br>セツ<br>ゆき、 せっ、 ぶき<br>	snow
線<br>セン<br>すじ<br>	line, track
船<br>セン<br>ふね、 ふな-、 ふ<br>	ship, boat
前<br>ゼン<br>まえ、 さき、 さと、 まい<br>	in front, before
組<br>ソ<br>く.む、 くみ<br>	association, braid, plait, construct, assemble, unite, cooperate, grapple
走<br>ソウ<br>はし.る、 はしり<br>	run
多<br>タ<br>おお.い、 まさ.に、 まさ.る<br>	many, frequent, much
太<br>タイ、 タ<br>ふと.い、 ふと.る、 おお、 たか、 ひろ<br>	plump, thick, big around
体<br>タイ、 テイ<br>からだ、 かたち、 なり<br>	body, substance, object, reality, counter for images
台<br>ダイ、 タイ<br>うてな、 われ、 つかさ<br>	pedestal, a stand, counter for machines and vehicles
谷<br>コク<br>たに、 きわ.まる、 がい、 がえ、 がや、 せ、 たり、 たん、 や<br>	valley
知<br>チ<br>し.る、 し.らせる、 さと、 さとる、 しり、 しれ、 とも、 のり<br>	know, wisdom
地<br>チ、 ジ<br>どま<br>	ground, earth
池<br>チ<br>いけ<br>	pond, cistern, pool, reservoir
茶<br>チャ、 サ<br>ちや<br>	tea
昼<br>チュウ<br>ひる<br>	daytime, noon
朝<br>チョウ<br>あさ、 あ、 あそ、 ささ、 ちか、 とも<br>	morning, dynasty, regime, epoch, period, (North) Korea
長<br>チョウ<br>なが.い、 おさ、 お、 おしゃ、 たかし、 たけ、 な、 は、 ひさ<br>	long, leader
鳥<br>チョウ<br>とり、 か、 と、 とっ<br>	bird, chicken
直<br>チョク、 ジキ、 ジカ<br>ただ.ちに、 なお.す、 なお.る、 なお.き、 す.ぐ、 すぐ、 なお、 のう、 のお<br>	straightaway, honesty, frankness, fix, repair
通<br>ツウ、 ツ<br>とお.る、 とお.り、 とお.す、 とお.し、 かよ.う、 とん、 どうし、 どおり、 みち<br>	traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.
弟<br>テイ、 ダイ、 デ<br>おとうと、 て<br>	younger brother, faithful service to elders
店<br>テン<br>みせ、 たな<br>	store, shop
点<br>テン<br>つ.ける、 つ.く、 た.てる、 さ.す、 とぼ.す、 とも.す、 ぼち<br>	spot, point, mark, speck, decimal point
電<br>デン<br><br>	electricity
冬<br>トウ<br>ふゆ<br>	winter
刀<br>トウ<br>かたな、 そり、 き、 ち、 と、 わき<br>	sword, saber, knife
東<br>トウ<br>ひがし、 あい、 あがり、 あずま、 あづま、 こ、 さき、 しの、 とお、 はる、 ひが、 もと<br>	east
当<br>トウ<br>あ.たる、 あ.たり、 あ.てる、 あ.て、 まさ.に、 まさ.にべし、 たい<br>	hit, right, appropriate, himself
答<br>トウ<br>こた.える、 こた.え、 どう<br>	solution, answer
頭<br>トウ、 ズ、 ト<br>あたま、 かしら、 かぶり、 かみ、 がみ、 ちゃん、 つむり、 づ<br>	head, counter for large animals
同<br>ドウ<br>おな.じ<br>	same, agree, equal
道<br>ドウ、 トウ<br>みち、 さ、 じ、 ど、 みつ<br>	road-way, street, district, journey, course, moral, teachings
読<br>ドク、 トク、 トウ<br>よ.む、 よみ<br>	read
内<br>ナイ、 ダイ<br>うち、 いと、 ただ、 ち、 のち<br>	inside, within, between, among, house, home
南<br>ナン、 ナ<br>みなみ、 なみ、 は、 みな、 みまみ<br>	south
肉<br>ニク<br>しし<br>	meat
馬<br>バ<br>うま、 うま-、 ま、 た、 ばん、 め、 も<br>	horse
買<br>バイ<br>か.う<br>	buy
売<br>バイ<br>う.る、 う.れる、 うり、 うる、 め<br>	sell
麦<br>バク<br>むぎ<br>	barley, wheat
半<br>ハン<br>なか.ば、 は<br>	half, middle, odd number, semi-, part-
番<br>バン<br>つが.い、 は、 ま<br>	turn, number in a series
父<br>フ<br>ちち<br>	father
風<br>フウ、 フ<br>かぜ、 かざ-、 い、 え<br>	wind, air, style, manner
分<br>ブン、 フン、 ブ<br>わ.ける、 わ.け、 わ.かれる、 わ.かる、 わ.かつ、 いた、 わけ<br>	part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100
聞<br>ブン、 モン<br>き.く、 き.こえる<br>	hear, ask, listen
米<br>ベイ、 マイ、 メエトル<br>こめ、 よね、 は、 べ、 まべ、 め、 よ、 よな、 よの、 よま<br>	rice, USA, metre
歩<br>ホ、 ブ、 フ<br>ある.く、 あゆ.む、 あ、 ゆき、 ゆみ<br>	walk, counter for steps
母<br>ボ<br>はは、 も<br>	mama, mother
方<br>ホウ<br>かた、 から、 な、 なた、 ふさ、 まさ、 みち、 も、 わ<br>	direction, person, alternative
北<br>ホク<br>きた、 きら、 ほう、 ほっ、 ほつ<br>	north
妹<br>マイ<br>いもうと、 す、 せ、 も<br>	younger sister
毎<br>マイ<br>ごと、 つね<br>	every
万<br>マン、 バン<br>よろず、 かず、 ま、 ゆる<br>	ten thousand, 10,000
明<br>メイ、 ミョウ、 ミン<br>あ.かり、 あか.るい、 あか.るむ、 あか.らむ、 あき.らか、 あ.ける、 あ.く、 あ.くる、 あ.かす、 あきら、 あけ、 あす、 きら、 け、 さや、 さやか、 とし、 はる、 み、 め<br>	bright, light
鳴<br>メイ<br>な.く、 な.る、 な.らす、 なり、 なる<br>	chirp, cry, bark, sound, ring, echo, honk
毛<br>モウ<br>け、 めん、 も<br>	fur, hair, feather, down
門<br>モン<br>かど、 と、 じょう、 も、 と、 ゆき<br>	gate, counter for cannons
夜<br>ヤ<br>よ、 よる<br>	night, evening
野<br>ヤ、 ショ<br>の、 の-、 ずけ、 つけ、 ぬ<br>	plains, field, rustic, civilian life
矢<br>シ<br>や<br>	dart, arrow
友<br>ユウ<br>とも、 う、 ど、 ゆ<br>	friend
曜<br>ヨウ<br>てる<br>	weekday
用<br>ヨウ<br>もち.いる、 たから<br>	utilize, business, service, use, employ
来<br>ライ、 タイ<br>く.る、 きた.る、 きた.す、 き.たす、 き.たる、 き、 こ、 くり、 くる、 ごろ、 さ<br>	come, due, next, cause, become
理<br>リ<br>ことわり、 あや、 おさむ、 さと、 さとる、 ただ、 ただし、 とおる、 に、 のり、 ひ、 まこと、 まさ、 まさし、 まろ、 みち、 よし<br>	logic, arrangement, reason, justice, truth
里<br>リ<br>さと、 さ<br>	ri, village, parent's home, league
話<br>ワ<br>はな.す、 はなし<br>	tale, talk
悪<br>アク、 オ<br>わる.い、 わる-、 あ.し、 にく.い、 ああ、 いずくに、 いずくんぞ、 にく.む<br>	bad, vice, rascal, false, evil, wrong
安<br>アン<br>やす.い、 やす.まる、 やす、 やす.らか、 あ、 あす、 あず、 あっ、 や<br>	relax, cheap, low, quiet, rested, contented, peaceful
暗<br>アン<br>くら.い、 くら.む、 くれ.る<br>	darkness, disappear, shade, informal, grow dark, be blinded
委<br>イ<br>ゆだ.ねる、 まかせ<br>	committee, entrust to, leave to, devote, discard
意<br>イ<br>もと、 よし<br>	idea, mind, heart, taste, thought, desire, care, liking
医<br>イ<br>い.やす、 い.する、 くすし<br>	doctor, medicine
育<br>イク<br>そだ.つ、 そだ.ち、 そだ.てる、 はぐく.む、 やす<br>	bring up, grow up, raise, rear
員<br>イン<br>いな、 かず<br>	employee, member, number, the one in charge
飲<br>イン、 オン<br>の.む<br>	drink, smoke, take
院<br>イン<br><br>	Inst., institution, temple, mansion, school
運<br>ウン<br>はこ.ぶ<br>	carry, luck, destiny, fate, lot, transport, progress, advance
泳<br>エイ<br>およ.ぐ<br>	swim
駅<br>エキ<br><br>	station
央<br>オウ<br>あきら、 え、 お、 さと、 ちか、 てる、 なか、 ひさ、 ひろ、 や<br>	center, middle
横<br>オウ<br>よこ<br>	sideways, side, horizontal, width, woof
屋<br>オク<br>や、 た<br>	roof, house, shop, dealer, seller
温<br>オン<br>あたた.か、 あたた.かい、 あたた.まる、 あたた.める、 ぬく、 あつ、 あつし、 なお、 はる、 ゆ、 ゆたか<br>	warm
化<br>カ、 ケ<br>ば.ける、 ば.かす、 ふ.ける、 け.する<br>	change, take the form of, influence, enchant, delude, -ization
荷<br>カ<br>に、 はす、 り<br>	baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight
界<br>カイ<br><br>	world
開<br>カイ<br>ひら.く、 ひら.き、 ひら.ける、 あ.く、 あ.ける、 はる、 か、 ひらき<br>	open, unfold, unseal
階<br>カイ<br>きざはし、 しな、 と、 はし<br>	storey, stair, counter for storeys of a building
寒<br>カン<br>さむ.い、 さ、 さん<br>	cold
感<br>カン<br><br>	emotion, feeling, sensation
漢<br>カン<br>はん<br>	Sino-, China
館<br>カン<br>やかた、 たて、 たち<br>	building, mansion, large building, palace
岸<br>ガン<br>きし、 けし<br>	beach
期<br>キ、 ゴ<br><br>	period, time, date, term
起<br>キ<br>お.きる、 お.こる、 お.こす、 おこ.す、 た.つ<br>	rouse, wake up, get up
客<br>キャク、 カク<br><br>	guest, visitor, customer, client
宮<br>キュウ、 グウ、 ク、 クウ<br>みや、 ぐ、 み<br>	Shinto shrine, constellations, palace, princess
急<br>キュウ<br>いそ.ぐ、 いそ.ぎ<br>	hurry, emergency, sudden, steep
球<br>キュウ<br>たま、 く<br>	ball, sphere
究<br>キュウ、 ク<br>きわ.める、 きゅ<br>	research, study
級<br>キュウ<br>しな<br>	class, rank, grade
去<br>キョ、 コ<br>さ.る、 い<br>	gone, past, quit, leave, elapse, eliminate, divorce
橋<br>キョウ<br>はし、 ばせ<br>	bridge
業<br>ギョウ、 ゴウ<br>わざ、 なり、 のぶ<br>	business, vocation, arts, performance
局<br>キョク<br>つぼね<br>	bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment
曲<br>キョク<br>ま.がる、 ま.げる、 くま、 まがた<br>	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean
銀<br>ギン<br>しろがね、 うん、 かな、 かね<br>	silver
区<br>ク、 オウ、 コウ<br><br>	ward, district
苦<br>ク<br>くる.しい、 くる.しむ、 くる.しめる、 にが.い、 にが.る<br>	suffering, trial, worry, hardship, feel bitter, scowl
